"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"1","D011301590",17824,"SAPOPEMBA, AV",NA,"",17765,"","01/01/2013 00:30",2,"CO",55,5," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",2,0,"SAPOPEMBA, AV 17765 SAO PAULO SP",-23.62181,-46.4513234
"2","D011301715",8438,"GUAVIRUTUBA, ES",NA,"",1356,"","01/01/2013 00:50",2,"CF",11,352," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8438,"GUAVIRUTUBA, ES",NA,"",42,"JARDIM ANGELA",0,1,"GUAVIRUTUBA, ES 1356 SAO PAULO SP",-23.5505199,-46.6333094
"3","D011300519",65051,"FRANCISCO DA CUNHA MENEZES, RUA",NA,"",751,"","01/01/2013 01:00",2,"CF",46,3," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65051,"FRANCISCO DA CUNHA MENEZES, RUA",NA,"",52,"MARSILAC",1,0,"FRANCISCO DA CUNHA MENEZES, RUA 751 SAO PAULO SP",-23.4431252,-46.7433195
"4","D011301313",25151,"GILBERTO FREYRE, RUA",NA,"",54,"","01/01/2013 01:17",4,"AT",101,6," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25151,"GILBERTO FREYRE, RUA",NA,"",32,"IGUATEMI",1,0,"GILBERTO FREYRE, RUA 54 SAO PAULO SP",-23.7448799,-46.6740725
"5","D011301187",25252,"TRES CORACOES, RUA",NA,"",479,"","01/01/2013 01:33",4,"AT",85,5," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25252,"TRES CORACOES, RUA",NA,"",32,"IGUATEMI",1,0,"TRES CORACOES, RUA 479 SAO PAULO SP",-23.773029,-46.6766737
"6","D011301140",9529,"ITAPECERICA, ES DE",NA,"",8100,"","01/01/2013 01:49",2,"SI",47,6," "," ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9529,"ITAPECERICA, ES DE",NA,"",29,"FREGUESIA DO O",3,0,"ITAPECERICA, ES DE 8100 SAO PAULO SP",-23.5505199,-46.6333094
"7","D011301610",9580,"ITAQUERA, AV",NA,"",4118,"","01/01/2013 03:00",2,"CH",66,7," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580,"ITAQUERA, AV",NA,"",24,"CIDADE LIDER",2,0,"ITAQUERA, AV 4118 SAO PAULO SP",-23.5537352,-46.4804813
"8","D011301357",2396,"ASCENSO FERNANDES, RUA",NA,"",613,"","01/01/2013 03:30",2,"CO",22,510," "," ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2396,"ASCENSO FERNANDES, RUA",NA,"",43,"JARDIM HELENA",1,0,"ASCENSO FERNANDES, RUA 613 SAO PAULO SP",-23.482632,-46.4236849
"10","D011301731",6350,"JOAO LANHOSO, RUA",NA,"",53,"","01/01/2013 04:50",4,"AT",95,4," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350,"JOAO LANHOSO, RUA",NA,"",69,"SACOMA",1,1,"JOAO LANHOSO, RUA 53 SAO PAULO SP",-23.6171993,-46.5852056
"11","D011301666",8818,"HONORATO DAS NEVES, RUA",NA,"",218,"","01/01/2013 06:30",2,"CF",74,13,"C"," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,"HONORATO DAS NEVES, RUA",NA,"",40,"JAGUARE",1,1,"HONORATO DAS NEVES, RUA 218 SAO PAULO SP",-23.4573166,-46.7023729
"12","D011301088",10270,"JOAO DIAS, AV",NA,"",2054,"","01/01/2013 06:50",2,"CH",11,10," "," ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10270,"JOAO DIAS, AV",NA,"",72,"SANTO AMARO",2,0,"JOAO DIAS, AV 2054 SAO PAULO SP",-23.6446887,-46.7202392
"13","D011300565",68371,"JULIANTE VIGNA, RUA",NA,"",100,"","01/01/2013 07:00",2,"QM",75,7," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68371,"JULIANTE VIGNA, RUA",NA,"",13,"CACHOEIRINHA",1,0,"JULIANTE VIGNA, RUA 100 SAO PAULO SP",-23.5951529,-46.7877789
"14","D011300460",14267,"MORUMBI, AV",NA,"",7010,"","01/01/2013 07:30",2,"QM",34,3," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14267,"MORUMBI, AV",NA,"",55,"MORUMBI",2,0,"MORUMBI, AV 7010 SAO PAULO SP",-23.6180545,-46.7028232
"15","D011300249",35829,"MOREIRA GUIMARAES, AV",14050,"MIRUNA, AV",0,"","01/01/2013 09:51",2,"CO",27,14," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14050,"MIRUNA, AV",35829,"MOREIRA GUIMARAES, AV",53,"MOEMA",1,0,"MOREIRA GUIMARAES, AV SAO PAULO SP &  MIRUNA, AV SAO PAULO SP",-23.6112321,-46.6554476
"16","D011301414",2185,"ARICANGA, RUA",NA,"",200,"","01/01/2013 11:01",2,"CH",59,5," "," ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2185,"ARICANGA, RUA",NA,"",86,"VILA CURUCA",1,0,"ARICANGA, RUA 200 SAO PAULO SP",-23.497603,-46.4112478
"17","D011300564",1363,"JORGE WARD, RUA",13019,"ESCOLA POLITECNICA, AV",0,"","01/01/2013 11:30",2,"CO",51,900003," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,"JORGE WARD, RUA",22165,"PABLO CASALS, AV",45,"JARDIM SAO LUIS",1,0,"JORGE WARD, RUA SAO PAULO SP &  ESCOLA POLITECNICA, AV SAO PAULO SP",-23.5679527,-46.7589041
"18","D011300416",11789,"LEOPOLDO COUTO MAGALHAES JR., RUA",6897,"FARIA LIMA, AV BRIG",0,"","01/01/2013 13:00",2,"CV",15,1," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6897,"FARIA LIMA, AV BRIG",11789,"LEOPOLDO COUTO MAGALHAES JR., RUA",34,"ITAIM BIBI",2,0,"LEOPOLDO COUTO MAGALHAES JR., RUA SAO PAULO SP &  FARIA LIMA, AV BRIG SAO PAULO SP",-23.587723,-46.6784521
"19","D011300097",15967,"PEDRO I, AV DOM",NA,"",1319,"","01/01/2013 13:23",2,"QM",6,6," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15967,"PEDRO I, AV DOM",NA,"",12,"BUTANTA",1,0,"PEDRO I, AV DOM 1319 SAO PAULO SP",-23.5758236,-46.6105918
"20","D011301298",2850,"BARONESA, ES DA",NA,"",200,"","01/01/2013 14:40",2,"CO",100,179," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,"BARONESA, ES DA",NA,"",42,"JARDIM ANGELA",1,0,"BARONESA, ES DA 200 SAO PAULO SP",-23.5505199,-46.6333094
"21","D011301630",6648,"ESTADO DO CEARA, RUA",NA,"",100,"","01/01/2013 17:27",4,"AT",69,29," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6648,"ESTADO DO CEARA, RUA",NA,"",75,"SAO MATEUS",1,0,"ESTADO DO CEARA, RUA 100 SAO PAULO SP",-23.5945985,-46.4983936
"22","D011300170",14947,"OLIMPIO DA SILVEIRA, AV GAL",NA,"",528,"","01/01/2013 17:40",2,"CO",77,10," "," ",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14947,"OLIMPIO DA SILVEIRA, AV GAL",NA,"",19,"CAPAO REDONDO",1,0,"OLIMPIO DA SILVEIRA, AV GAL 528 SAO PAULO SP",-23.5318222,-46.6613468
"23","D011301690",26912,"GABRIEL MENALT, RUA",NA,"",53,"","01/01/2013 18:11",2,"QM",50,38," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"GABRIEL MENALT, RUA",NA,"",50,"LIMAO",0,1,"GABRIEL MENALT, RUA 53 SAO PAULO SP",-23.5307957,-46.4252542
"24","D011301456",98965,"CALIM EID, AV",NA,"",439,"","01/01/2013 20:10",4,"AT",64,19," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98965,"CALIM EID, AV",NA,"",60,"PENHA",1,0,"CALIM EID, AV 439 SAO PAULO SP",-23.5201145,-46.5083221
"25","D011300548",5309,"CORIFEU DE AZEVEDO MARQUES, AV",42304,"ELIS REGINA, PCA",0,"","01/01/2013 20:17",2,"CT",51,11," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,"CORIFEU DE AZEVEDO MARQUES, AV",42304,"ELIS REGINA, PCA",NA,"",1,0,"CORIFEU DE AZEVEDO MARQUES, AV SAO PAULO SP &  ELIS REGINA, PCA SAO PAULO SP",-23.5597707,-46.7472778
"26","D011300335",12970,"MARCOS LOPES, RUA",14155,"MONTE APRAZIVEL, RUA",0,"","01/01/2013 20:30",2,"CO",96,8," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970,"MARCOS LOPES, RUA",14155,"MONTE APRAZIVEL, RUA",53,"MOEMA",1,0,"MARCOS LOPES, RUA SAO PAULO SP &  MONTE APRAZIVEL, RUA SAO PAULO SP",-23.5968668,-46.6712357
"27","D011301457",8413,"GUARIUBA, RUA",NA,"",338,"","01/01/2013 20:30",2,"CH",64,31," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8413,"GUARIUBA, RUA",NA,"",51,"MANDAQUI",1,0,"GUARIUBA, RUA 338 SAO PAULO SP",-23.5398693,-46.4652286
"28","D011300684",19884,"VOLUNTARIOS DA PATRIA, RUA",14916,"OLAVO EGIDIO, RUA DR",0,"","01/01/2013 21:08",2,"CO",13,20," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14916,"OLAVO EGIDIO, RUA DR",19884,"VOLUNTARIOS DA PATRIA, RUA",71,"SANTANA",1,0,"VOLUNTARIOS DA PATRIA, RUA SAO PAULO SP &  OLAVO EGIDIO, RUA DR SAO PAULO SP",-23.5033096,-46.6263934
"29","D011301441",74827,"TEJUGUACU, RUA",17670,"FAVEIRA DO MATO, RUA",0,"","01/01/2013 21:20",4,"AT",63,24," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17670,"FAVEIRA DO MATO, RUA",74827,"TEJUGUACU, RUA",8,"BELEM",1,0,"TEJUGUACU, RUA SAO PAULO SP &  FAVEIRA DO MATO, RUA SAO PAULO SP",-23.5076184,-46.4494587
"30","D011301424",68464,"PORCINO DOS SANTOS, AV",NA,"",50,"","01/01/2013 22:00",2,"CO",62,112," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68464,"PORCINO DOS SANTOS, AV",NA,"",49,"LIBERDADE",1,0,"PORCINO DOS SANTOS, AV 50 SAO PAULO SP",-23.4976168,-46.46812
"32","D011301692",98912,"JOSE PINHEIRO BORGES, AV",NA,"",1399,"","01/01/2013 22:30",4,"AT",62,32," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98912,"JOSE PINHEIRO BORGES, AV",NA,"",NA,"",0,1,"JOSE PINHEIRO BORGES, AV 1399 SAO PAULO SP",-23.5399586,-46.4608422
"33","D011301667",15425,"CANTIDIO SAMPAIO, AV DEP",NA,"",2700,"","02/01/2013 00:15",2,"CO",77,38,"B"," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15425,"CANTIDIO SAMPAIO, AV DEP",NA,"",NA,"",1,1,"CANTIDIO SAMPAIO, AV DEP 2700 SAO PAULO SP",-23.4596875,-46.689071
"34","D011300936",13177,"MARIA CARLOTA, RUA",NA,"",900,"","02/01/2013 00:30",4,"AT",10,30," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13177,"MARIA CARLOTA, RUA",NA,"",60,"PENHA",1,0,"MARIA CARLOTA, RUA 900 SAO PAULO SP",-23.5295998,-46.5279811
"35","D011301710",24563,"JOAO VALERA GOMES, RUA",NA,"",318,"","02/01/2013 00:40",2,"CO",47,30," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24563,"JOAO VALERA GOMES, RUA",NA,"",29,"FREGUESIA DO O",0,1,"JOAO VALERA GOMES, RUA 318 SAO PAULO SP",-23.6741184,-46.7667285
"36","D011301711",19931,"WASHINGTON LUIS, AV",NA,"",4959,"","02/01/2013 01:45",2,"CH",11,2," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19931,"WASHINGTON LUIS, AV",NA,"",NA,"",2,1,"WASHINGTON LUIS, AV 4959 SAO PAULO SP",-23.6358132,-46.6701525
"37","D011301045",8955,"IBITIRAMA, RUA",4926,"CICLAMES, RUA DOS",0,"","02/01/2013 05:45",4,"AT",56,17," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926,"CICLAMES, RUA DOS",8955,"IBITIRAMA, RUA",95,"VILA PRUDENTE",1,0,"IBITIRAMA, RUA SAO PAULO SP &  CICLAMES, RUA DOS SAO PAULO SP",-23.5937819,-46.5790788
"39","D011300137",543,"ALCANTARA MACHADO, AV",NA,"",260,"","02/01/2013 06:54",2,"CO",8,835," "," ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,543,"ALCANTARA MACHADO, AV",NA,"",10,"BRAS",6,0,"ALCANTARA MACHADO, AV 260 SAO PAULO SP",-23.5522246,-46.6223135
"40","D011300374",6238,"NACOES UNIDAS, AV DAS",NA,"",2000,"","02/01/2013 07:40",2,"CT",14,18," "," ",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,"",90,"VILA LEOPOLDINA",1,0,"NACOES UNIDAS, AV DAS 2000 SAO PAULO SP",-23.6791599,-46.6961185
"41","D011300347",2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",4365,"","02/01/2013 08:00",4,"AT",97,7,"C"," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",37,"JABAQUARA",2,0,"ARMANDO DE ARRUDA PEREIRA, AV ENG 4365 SAO PAULO SP",-23.6628423,-46.637662
"42","D011300656",1039,"AMAZONAS DA SILVA, RUA",6253,"EDUARDO LEOPOLDO, RUA",0,"","02/01/2013 08:45",2,"CO",9,19," "," ",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,"AMAZONAS DA SILVA, RUA",6253,"EDUARDO LEOPOLDO, RUA",88,"VILA GUILHERME",1,0,"AMAZONAS DA SILVA, RUA SAO PAULO SP &  EDUARDO LEOPOLDO, RUA SAO PAULO SP",-23.5169466,-46.611274
"43","D011300054",8536,"GUSMOES, RUA DOS",NA,"",666,"","02/01/2013 09:00",2,"CH",3,1054," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8536,"GUSMOES, RUA DOS",NA,"",70,"SANTA CECILIA",1,0,"GUSMOES, RUA DOS 666 SAO PAULO SP",-23.5389783,-46.642285
"45","D011300419",17003,"REPUBLICA DO LIBANO, AV",3220,"BENTO DE ANDRADE, RUA",0,"","02/01/2013 09:30",2,"CO",15,37," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,"BENTO DE ANDRADE, RUA",17003,"REPUBLICA DO LIBANO, AV",53,"MOEMA",1,0,"REPUBLICA DO LIBANO, AV SAO PAULO SP &  BENTO DE ANDRADE, RUA SAO PAULO SP",-23.5877683,-46.6640953
"46","D011301442",9084,"IMPERADOR, ES DO",46936,"JACU-PESSEGO/NOVA TRABALHADORE, AV",0,"","02/01/2013 10:00",2,"CL",63,40," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9084,"IMPERADOR, ES DO",46936,"JACU-PESSEGO/NOVA TRABALHADORE, AV",8,"BELEM",1,0,"IMPERADOR, ES DO SAO PAULO SP &  JACU-PESSEGO/NOVA TRABALHADORE, AV SAO PAULO SP",-23.5505199,-46.6333094
"47","D011300138",543,"ALCANTARA MACHADO, AV",10488,"JOAO TOBIAS, RUA",0,"","02/01/2013 10:00",2,"CT",8,836," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,"ALCANTARA MACHADO, AV",10488,"JOAO TOBIAS, RUA",54,"MOOCA",2,0,"ALCANTARA MACHADO, AV SAO PAULO SP &  JOAO TOBIAS, RUA SAO PAULO SP",-23.5528151,-46.613419
"48","D011300251",19931,"WASHINGTON LUIS, AV",NA,"",7000,"","02/01/2013 10:30",2,"CO",27,23," "," ",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19931,"WASHINGTON LUIS, AV",NA,"",30,"GRAJAU",1,0,"WASHINGTON LUIS, AV 7000 SAO PAULO SP",-23.6225393,-46.661652
"49","D011301027",946,"AMADEU BARBELINI, RUA CD",14396,"NANA, RUA",0,"","02/01/2013 11:15",2,"CH",42,6," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,"AMADEU BARBELINI, RUA CD",14396,"NANA, RUA",74,"SAO LUCAS",1,0,"AMADEU BARBELINI, RUA CD SAO PAULO SP &  NANA, RUA SAO PAULO SP",-23.5505199,-46.6333094
"50","D011301712",2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",7000,"","02/01/2013 12:20",2,"CH",97,11," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",37,"JABAQUARA",0,1,"ARMANDO DE ARRUDA PEREIRA, AV ENG 7000 SAO PAULO SP",-23.6754353,-46.6302318
"51","D011300461",21248,"ALFREDO MENDES DA SILVA, RUA",8483,"GUILHERME DUMONT VILARES, AV DR",0,"","02/01/2013 12:20",2,"CO",34,20," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8483,"GUILHERME DUMONT VILARES, AV DR",21248,"ALFREDO MENDES DA SILVA, RUA",96,"VILA SONIA",1,0,"ALFREDO MENDES DA SILVA, RUA SAO PAULO SP &  GUILHERME DUMONT VILARES, AV DR SAO PAULO SP",-23.6037311,-46.7466044
"53","D011301691",43408,"ABEL FERREIRA, AV VER",32008,"GABRIEL GRUPELLO, RUA",0,"","02/01/2013 12:42",4,"AT",29,14,"C"," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32008,"GABRIEL GRUPELLO, RUA",43408,"ABEL FERREIRA, AV VER",NA,"",0,1,"ABEL FERREIRA, AV VER SAO PAULO SP &  GABRIEL GRUPELLO, RUA SAO PAULO SP",-23.5650195,-46.5589073
"54","D011301188",15507,"TEOTONIO VILELA, AV SEN",NA,"",5651,"","02/01/2013 13:36",2,"CO",85,34," "," ",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15507,"TEOTONIO VILELA, AV SEN",NA,"",23,"CIDADE DUTRA",1,0,"TEOTONIO VILELA, AV SEN 5651 SAO PAULO SP",-23.7592582,-46.7153528
"55","D011301073",43408,"ABEL FERREIRA, AV VER",14196,"MONTEMAGNO, AV",0,"","02/01/2013 14:22",2,"CL",58,7," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14196,"MONTEMAGNO, AV",43408,"ABEL FERREIRA, AV VER",1,"AGUA RASA",1,0,"ABEL FERREIRA, AV VER SAO PAULO SP &  MONTEMAGNO, AV SAO PAULO SP",-23.5650195,-46.5589073
"56","D011301275",9220,"INTERLAGOS, AV",NA,"",2685,"","02/01/2013 15:00",2,"CO",99,11,"C"," ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9220,"INTERLAGOS, AV",NA,"",16,"CAMPO GRANDE",1,0,"INTERLAGOS, AV 2685 SAO PAULO SP",-23.6769702,-46.6801637
"57","D011301609",17824,"SAPOPEMBA, AV",NA,"",14022,"","02/01/2013 15:30",2,"QM",55,900001,"C"," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",1,0,"SAPOPEMBA, AV 14022 SAO PAULO SP",-23.6129108,-46.4725841
"58","D011300098",17083,"RICARDO JAFET, AV DR",NA,"",1300,"","02/01/2013 15:40",2,"SI",6,20," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17083,"RICARDO JAFET, AV DR",NA,"",37,"JABAQUARA",3,0,"RICARDO JAFET, AV DR 1300 SAO PAULO SP",-23.5887882,-46.6201263
"59","D011300686",27187,"OLAVO FONTOURA, AV",NA,"",1,"","02/01/2013 16:00",2,"QM",13,45," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27187,"OLAVO FONTOURA, AV",NA,"",8,"BELEM",1,0,"OLAVO FONTOURA, AV 1 SAO PAULO SP",-23.514573,-46.6304876
"60","D011300185",15372,"PAMPLONA, RUA",NA,"",1743,"","02/01/2013 16:45",4,"AT",78,60," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,"PAMPLONA, RUA",NA,"",17,"CAMPO LIMPO",1,0,"PAMPLONA, RUA 1743 SAO PAULO SP",-23.5713366,-46.6611168
"61","D011301297",12403,"M'BOI MIRIM, ES",NA,"",7782,"","02/01/2013 17:41",2,"CO",100,36," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12403,"M'BOI MIRIM, ES",NA,"",42,"JARDIM ANGELA",1,0,"M'BOI MIRIM, ES 7782 SAO PAULO SP",-23.5505199,-46.6333094
"62","D011301252",852,"ALVARENGA, ES DO",NA,"",1651,"","02/01/2013 18:30",2,"CO",98,99," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,852,"ALVARENGA, ES DO",NA,"",59,"PEDREIRA",1,0,"ALVARENGA, ES DO 1651 SAO PAULO SP",-23.5505199,-46.6333094
"63","D011300761",36284,"PETRONIO PORTELA, AV MIN",NA,"",1746,"","02/01/2013 18:50",2,"CO",28,24," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36284,"PETRONIO PORTELA, AV MIN",NA,"",4,"ARICANDUVA",1,0,"PETRONIO PORTELA, AV MIN 1746 SAO PAULO SP",-23.4847464,-46.695675
"64","D011300431",6471,"SAO VICENTE, AV MARQ DE",NA,"",682,"","02/01/2013 18:55",4,"AT",23,26," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6471,"SAO VICENTE, AV MARQ DE",NA,"",6,"BARRA FUNDA",2,0,"SAO VICENTE, AV MARQ DE 682 SAO PAULO SP",-23.5213685,-46.6667252
"65","D011301529",1306,"ANDRE DE ALMEIDA, RUA",NA,"",1237,"","02/01/2013 19:00",2,"CO",49,96," "," ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,"ANDRE DE ALMEIDA, RUA",NA,"",75,"SAO MATEUS",1,0,"ANDRE DE ALMEIDA, RUA 1237 SAO PAULO SP",-23.5943843,-46.4831091
"66","D011301065",14213,"MOOCA, RUA DA",NA,"",3334,"","02/01/2013 19:11",2,"CO",57,21," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14213,"MOOCA, RUA DA",NA,"",16,"CAMPO GRANDE",1,0,"MOOCA, RUA DA 3334 SAO PAULO SP",-23.5573143,-46.5930032
"67","D011300687",3637,"BRAZ LEME, AV",NA,"",2342,"","02/01/2013 19:56",2,"CH",13,51," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637,"BRAZ LEME, AV",NA,"",21,"CASA VERDE",1,0,"BRAZ LEME, AV 2342 SAO PAULO SP",-23.5035706,-46.638077
"69","D011301089",19844,"VITOR MANZINI, AV",NA,"",2050,"","02/01/2013 21:48",4,"AT",11,63," "," ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19844,"VITOR MANZINI, AV",NA,"",29,"FREGUESIA DO O",1,0,"VITOR MANZINI, AV 2050 SAO PAULO SP",-23.6631171,-46.7076066
"70","D011300252",15887,"PEDRO BUENO, AV",NA,"",513,"","02/01/2013 22:37",2,"CH",27,52," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15887,"PEDRO BUENO, AV",NA,"",30,"GRAJAU",2,0,"PEDRO BUENO, AV 513 SAO PAULO SP",-23.6354374,-46.6480932
"71","D011300095",5887,"DIOGO, RUA MAJ",NA,"",53,"","02/01/2013 22:49",2,"QM",5,38," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5887,"DIOGO, RUA MAJ",NA,"",67,"REPUBLICA",1,0,"DIOGO, RUA MAJ 53 SAO PAULO SP",-23.5515923,-46.6433743
"72","D011300549",11022,"JOSE JOAQUIM SEABRA, AV",NA,"",905,"","02/01/2013 22:59",2,"CO",51,45," "," ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11022,"JOSE JOAQUIM SEABRA, AV",NA,"",68,"RIO PEQUENO",1,0,"JOSE JOAQUIM SEABRA, AV 905 SAO PAULO SP",-23.5709673,-46.7533578
"73","D011300641",6101,"DRACENA, AV",NA,"",100,"","03/01/2013 00:47",4,"AT",93,35," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6101,"DRACENA, AV",NA,"",40,"JAGUARE",1,0,"DRACENA, AV 100 SAO PAULO SP",-23.5392183,-46.7449251
"74","D011301064",20059,"ZELINA, AV",8955,"IBITIRAMA, RUA",0,"","03/01/2013 02:15",4,"AT",56,712," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955,"IBITIRAMA, RUA",20059,"ZELINA, AV",95,"VILA PRUDENTE",1,0,"ZELINA, AV SAO PAULO SP &  IBITIRAMA, RUA SAO PAULO SP",-23.5895172,-46.5787291
"76","D011300305",5376,"CORREIA DIAS, RUA",5570,"CUBATAO, RUA",0,"","03/01/2013 04:50",2,"CO",36,24," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5376,"CORREIA DIAS, RUA",5570,"CUBATAO, RUA",92,"VILA MARIANA",1,0,"CORREIA DIAS, RUA SAO PAULO SP &  CUBATAO, RUA SAO PAULO SP",-23.5763775,-46.6399141
"77","D011300040",19689,"VIEIRA DE CARVALHO, AV",2595,"AURORA, RUA",0,"","03/01/2013 07:00",2,"SI",3,49," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,"AURORA, RUA",19689,"VIEIRA DE CARVALHO, AV",67,"REPUBLICA",1,0,"VIEIRA DE CARVALHO, AV SAO PAULO SP &  AURORA, RUA SAO PAULO SP",-23.5411909,-46.6440893
"78","D011300336",6238,"NACOES UNIDAS, AV DAS",NA,"",12901,"","03/01/2013 07:30",2,"QM",96,25," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,"",90,"VILA LEOPOLDINA",2,0,"NACOES UNIDAS, AV DAS 12901 SAO PAULO SP",-23.6093286,-46.6976541
