"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"10417","D061300093",18618,"TAMANDARE, RUA",NA,"",525,"","03/06/2013 09:11",2,"CO",5,2888," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18618,"TAMANDARE, RUA",NA,"",49,"LIBERDADE",1,0,"TAMANDARE, RUA 525 SAO PAULO SP",-23.5636628,-46.6345075
"10418","D061301039",33642,"MASAO WATANABE, AV",NA,"",347,"","03/06/2013 09:15",2,"CO",38,2725," "," ",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33642,"MASAO WATANABE, AV",NA,"",8,"BELEM",5,0,"MASAO WATANABE, AV 347 SAO PAULO SP",-23.4637715,-46.6660024
"10419","D061300949",27099,"DUTRA, VIA PRES",NA,"",231,"","03/06/2013 09:50",4,"AT",19,2063," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27099,"DUTRA, VIA PRES",NA,"",36,"ITAQUERA",1,0,"DUTRA, VIA PRES 231 SAO PAULO SP",-23.5142446,-46.577807
"10420","D061300223",4070,"CANADA, RUA",NA,"",215,"","03/06/2013 09:50",4,"AT",78,5568," "," ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4070,"CANADA, RUA",NA,"",44,"JARDIM PAULISTA",1,0,"CANADA, RUA 215 SAO PAULO SP",-23.5715471,-46.6660958
"10421","D061302022",2181,"ARICANDUVA, AV",NA,"",5300,"","03/06/2013 10:15",2,"CO",66,2336," "," ",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2181,"ARICANDUVA, AV",NA,"",60,"PENHA",1,0,"ARICANDUVA, AV 5300 SAO PAULO SP",-23.5683205,-46.5056075
"10422","D061301509",17157,"RIO GRANDE DO SUL, RUA",5606,"CUPECE, AV",0,"","03/06/2013 10:25",2,"QM",43,4894," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5606,"CUPECE, AV",17157,"RIO GRANDE DO SUL, RUA",22,"CIDADE ADEMAR",1,0,"RIO GRANDE DO SUL, RUA SAO PAULO SP &  CUPECE, AV SAO PAULO SP",-23.6733292,-46.6455631
"10423","D061300429",2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",5515,"","03/06/2013 10:32",2,"CH",97,1525," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,"ARMANDO DE ARRUDA PEREIRA, AV ENG",NA,"",37,"JABAQUARA",1,0,"ARMANDO DE ARRUDA PEREIRA, AV ENG 5515 SAO PAULO SP",-23.6695298,-46.6329264
"10424","D061301700",8368,"GUARAPIRANGA, AV",NA,"",143,"","03/06/2013 10:45",4,"AT",102,1543," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368,"GUARAPIRANGA, AV",NA,"",45,"JARDIM SAO LUIS",1,0,"GUARAPIRANGA, AV 143 SAO PAULO SP",-23.6659905,-46.7139656
"10426","D061302079",351,"AGUA FRIA, AV",NA,"",988,"","03/06/2013 10:56",4,"AT",20,5179," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,"AGUA FRIA, AV",NA,"",71,"SANTANA",0,1,"AGUA FRIA, AV 988 SAO PAULO SP",-23.4799433,-46.621954
"10427","D061301728",10785,"JOSE ARTUR NOVA, AV DR",NA,"",2990,"","03/06/2013 11:00",2,"CH",22,1954," "," ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10785,"JOSE ARTUR NOVA, AV DR",NA,"",43,"JARDIM HELENA",1,0,"JOSE ARTUR NOVA, AV DR 2990 SAO PAULO SP",-23.4725973,-46.4232145
