,id_acidente,codloga,logradouroA,codlogb,logradouroB,alt_num,referencia,data,cod_acid,tipo_acidente,dp,numero_BO,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,princ_a,paiA,princ_b,paiB,cod_distrito,distrito,vit_ferida,vit_morta,local,lat,lon,loc/type,loc/coordinates/0,loc/coordinates/1
6682,D041300103,5245,"CONSOLACAO, RUA DA",NA,,1800,,11/04/2013 20:01,4,AT,4,2907, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,2,0,"CONSOLACAO, RUA DA 1800 SAO PAULO SP",-23.551892,-46.6578707,Point,-46.6578707,-23.551892
10785,D061300063,5245,"CONSOLACAO, RUA DA",NA,,3000,,07/06/2013 16:55,4,AT,3,4323, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,1,0,"CONSOLACAO, RUA DA 3000 SAO PAULO SP",-23.5591845,-46.6667118,Point,-46.6667118,-23.5591845
11442,D061300496,16919,"REBOUCAS, AV",NA,,353,,16/06/2013 03:15,2,CH,14,6164, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16919,"REBOUCAS, AV",NA,,44,JARDIM PAULISTA,1,0,"REBOUCAS, AV 353 SAO PAULO SP",-23.5572679,-46.6660006,Point,-46.6660006,-23.5572679
11443,D061300497,16919,"REBOUCAS, AV",NA,,353,,16/06/2013 03:15,2,QM,14,6166, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16919,"REBOUCAS, AV",NA,,44,JARDIM PAULISTA,1,0,"REBOUCAS, AV 353 SAO PAULO SP",-23.5572679,-46.6660006,Point,-46.6660006,-23.5572679
1906,D021300195,17240,"ROCHA AZEVEDO, AL MIN",NA,,1213,,04/02/2013 11:16,2,CT,78,937, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17240,"ROCHA AZEVEDO, AL MIN",NA,,34,ITAIM BIBI,1,0,"ROCHA AZEVEDO, AL MIN 1213 SAO PAULO SP",-23.5669878,-46.6650671,Point,-46.6650671,-23.5669878
7721,D041301573,19152,"TREZE DE MAIO, LGO",NA,,520,,26/04/2013 13:30,4,AT,11,4653, , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19152,"TREZE DE MAIO, LGO",NA,,29,FREGUESIA DO O,1,0,"TREZE DE MAIO, LGO 520 SAO PAULO SP",-23.5577422,-46.6465161,Point,-46.6465161,-23.5577422
7722,D041302238,19152,"TREZE DE MAIO, LGO",NA,,520,,26/04/2013 13:30,4,AT,14,4166, , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19152,"TREZE DE MAIO, LGO",NA,,29,FREGUESIA DO O,0,1,"TREZE DE MAIO, LGO 520 SAO PAULO SP",-23.5577422,-46.6465161,Point,-46.6465161,-23.5577422
1785,D021300193,12165,"LUIS ANTONIO, AV BRIG",6651,"ESTADOS UNIDOS, RUA",0,,02/02/2013 12:04,2,CO,78,891, , ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10629,"ESTENIO ALBUQUERQUE LIMA, AV MAL",12165,"LUIS ANTONIO, AV BRIG",53,MOEMA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  ESTADOS UNIDOS, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
9852,D051300135,12165,"LUIS ANTONIO, AV BRIG",19154,"TREZE DE MAIO, RUA",0,,24/05/2013 23:20,2,CO,5,4431, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12165,"LUIS ANTONIO, AV BRIG",19154,"TREZE DE MAIO, RUA",7,BELA VISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  TREZE DE MAIO, RUA SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
11583,D061300522,12165,"LUIS ANTONIO, AV BRIG",3386,"BITENCOURT, RUA MAL",0,,18/06/2013 07:45,2,CO,15,2986, , ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3386,"BITENCOURT, RUA MAL",12165,"LUIS ANTONIO, AV BRIG",44,JARDIM PAULISTA,1,0,"LUIS ANTONIO, AV BRIG SAO PAULO SP &  BITENCOURT, RUA MAL SAO PAULO SP",-23.5699897,-46.6512614,Point,-46.6512614,-23.5699897
